angle,label,score
60,Sketch,0.8699795007705688
60,Drawing,0.8541450500488281
60,Tree,0.7469744682312012
60,Design,0.7203227281570435
60,Wood,0.6917140483856201
60,Illustration,0.6225569844245911
60,Pattern,0.6189838647842407
60,Trunk,0.5469489693641663
61,Sketch,0.8813943862915039
61,Drawing,0.8672768473625183
61,Wood,0.6534817218780518
61,Illustration,0.6225569844245911
61,Pattern,0.5630630254745483
62,Sketch,0.8591513633728027
62,Drawing,0.8553162813186646
62,Rock,0.7335856556892395
62,Wood,0.6534817218780518
62,Trunk,0.6461594104766846
62,Pattern,0.6189838647842407
62,Illustration,0.5765818953514099
63,Sketch,0.8528682589530945
63,Drawing,0.8387206792831421
63,Tree,0.7469744682312012
63,Rock,0.6981205940246582
63,Wood,0.6917140483856201
63,Room,0.6566392779350281
63,Trunk,0.6341295838356018
63,Illustration,0.6225569844245911
63,Art,0.5813031792640686
63,Pattern,0.5630630254745483
64,Drawing,0.8414872288703918
64,Sketch,0.8368605971336365
64,Tree,0.7469744682312012
64,Rock,0.6981205940246582
64,Trunk,0.6670812368392944
64,Wood,0.6534817218780518
64,Illustration,0.6017356514930725
65,Drawing,0.8517550230026245
65,Sketch,0.8463684320449829
65,Leaf,0.7594611644744873
65,Tree,0.7469744682312012
65,Wood,0.6917140483856201
65,Trunk,0.6670812368392944
65,Rock,0.6438128352165222
65,Illustration,0.6225569844245911
66,Drawing,0.8234007358551025
66,Sketch,0.8129605054855347
66,Leaf,0.7594611644744873
66,Tree,0.7469744682312012
66,Wood,0.6534817218780518
66,Rock,0.6438128352165222
66,Illustration,0.6402102112770081
66,Trunk,0.6058474779129028
66,Pattern,0.5630630254745483
67,Sketch,0.8566627502441406
67,Drawing,0.8467711210250854
67,Leaf,0.8058615326881409
67,Rock,0.6438128352165222
67,Illustration,0.6225569844245911
67,Wood,0.5958532094955444
67,Trunk,0.5889434814453125
67,Art,0.5813031792640686
67,Pattern,0.5630630254745483
68,Drawing,0.8217105269432068
68,Sketch,0.8207949995994568
68,Tree,0.7469744682312012
68,Rock,0.6438128352165222
68,Branch,0.6203985214233398
68,Trunk,0.6058474779129028
68,Wood,0.5958532094955444
68,Illustration,0.5765818953514099
68,Pattern,0.5630630254745483
68,Art,0.502187192440033
69,Leaf,0.8058615326881409
69,Sketch,0.801335334777832
69,Drawing,0.7984194755554199
69,Rock,0.6981205940246582
69,Wood,0.6534817218780518
69,Pattern,0.6189838647842407
69,Illustration,0.5765818953514099
69,Beige,0.5484284162521362
69,Trunk,0.5469489693641663
69,Art,0.502187192440033
70,Sketch,0.8423551321029663
70,Drawing,0.8266866207122803
70,Rock,0.6981205940246582
70,Wood,0.6917140483856201
70,Trunk,0.6461594104766846
70,Illustration,0.5451834201812744
70,Art,0.502187192440033
71,Drawing,0.828284502029419
